X,Y,OBJECTID,NAME,ALIAS1,ALIAS2,ADDRESS,Address2,URL,PHONE,ARTSCENTER,BALLFIELDS,BOATRENTAL,CANOE,DISCGOLF,DOGPARK,ENVCTR,FISHING,GREENWAYACCESS,GYM,MULTIPURPOSEFIELD,OUTDOORBASKETBALL,PICNICSHELTER,PLAYGROUND,POOL,COMMUNITYCENTER,NEIGHBORHOODCENTER,TENNISCOURTS,TRACK,WALKINGTRAILS,JURISDICTION,RESTROOMS,Lat,Lon,Notes,ObjectID_1,GlobalID,CreationDate,Creator,EditDate,Editor,AMUSEMENTTRAIN,CAROUSEL,TENNISCENTER,THEATER,BOCCE,HANDBALL,HORSESHOE,INLINESKATING,SANDVOLLEYBALL,SKATEPARK,ACTIVE_ADULT,BMXTRACK,BOATRIDE,LIBRARY,MUSEUM,TEEN,BIKING,LIVEANIMALS,GARDENS,EQUESTRIAN
-78.54201310876492,35.77089388976519,1,Anderson Point Park,,,"20 Anderson Point Dr, Raleigh, NC","20 Anderson Point Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AndersonPointMainPage.html,919-329-5994,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,City of Raleigh,Yes,35.77088681,-78.54201053,,,35b6ff53-86a5-4a9e-9ef2-f04c7cd96978,2017-08-30T20:48:29.798Z,ben.strauss1,2018-03-19T19:05:56.014Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.598839174348441,35.92210293096359,2,"Annie Louise Wilkerson, MD Nature Preserve Park",,,"11408 Raven Ridge Rd, Raleigh, NC","11408 Raven Ridge Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AnnieLWilkersonNaturePreservePark.html,919-996-6764,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,City of Raleigh,Yes,35.92209582,-78.59883657,,,d517f738-2730-4903-a5f7-ac93936a5295,2017-08-30T20:48:29.798Z,ben.strauss1,2018-03-19T19:05:54.216Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.609243708783524,35.764911866084013,3,Apollo Heights Park,Ralph Campbell,,"756 Lunar Dr, Raleigh, NC","756 Lunar Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/AnnieLWilkersonNaturePreservePark.html,919-250-2757,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,City of Raleigh,No,35.76490479,-78.60924111,,,58522d65-c5aa-4b0a-8e20-7d40e211fa4c,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.668551355090656,35.907955764822944,4,Baileywick Road Park,,,"9501 Baileywick Rd, Raleigh, NC","9501 Baileywick Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BaileywickPark.html,919-870-2911,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,City of Raleigh,Yes,35.90794866,-78.66854873,,,9177fb9e-cafc-415f-adb0-0bcdfd522717,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.551485999738958,35.730486051668301,5,Barwell Road Park,,,"3935 Barwell Rd, Raleigh, NC","3935 Barwell Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BarwellRoadCommunityCenter.html,919-329-5994,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,City of Raleigh,No,35.73047898,-78.55148342,,,4b3305a9-7ab9-4bc0-b397-681cf29feb44,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.55643593865895,35.88206418364156,6,Berkshire Downs West Park,,,"8105 McGuire Dr, Raleigh, NC","8105 McGuire Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecParks/Articles/PlaygroundBerkshireDownsWest.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,City of Raleigh,No,35.88205708,-78.55643335,,,51976e1f-f106-4720-b5f3-2762d3a3f7f7,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.627028783143928,35.74595440168774,7,Biltmore Hills Park,,,"2615 Fitzgerald Dr, Raleigh, NC","2615 Fitzgerald Dr, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BiltmoreHills.html,919-831-6895,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,City of Raleigh,Yes,35.74594733,-78.62702618,,,2683045b-5d44-4beb-90c0-7a0c889c907d,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.635933697878812,35.765966395805741,8,Bragg Street Park,,,"1116 South Person St, Raleigh, NC","1116 South Person St, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BraggStreetPark.html,919-831-6640,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,City of Raleigh,No,35.76595932,-78.63593109,,,aea05d5f-2071-4bdc-ba96-302155894eef,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.599550489509582,35.828506911047853,9,Brentwood Park,,,"3315 Vinson Ct, Raleigh, NC","3315 Vinson Ct, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BrentwoodCenter.html,919-872-41040,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,City of Raleigh,No,35.82849982,-78.59954789,,,1ff0c88f-154e-49df-aa52-ff1a58717f21,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
-78.806365866039059,35.900533928744863,10,Brier Creek Park,,,"10810 Globe Rd, Raleigh, NC","10810 Globe Rd, Raleigh, NC",http://www.raleighnc.gov/arts/content/PRecRecreation/Articles/BrierCreekCommunityCenter.html,919-420-2340,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,City of Raleigh,Yes,35.90052683,-78.8063632,,,74001590-c267-417b-8155-1325c5aa86f7,2017-08-30T20:48:29.798Z,ben.strauss1,2017-09-22T13:49:58.463Z,ben.strauss1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,
