OBJECTID,NAME,PARK_TYPE,FILE_NUMBER,PARCEL_COUNT,DEVELOPED,MAP_ACRES,ADDRESS,ZIP_CODE,ALTERNATE_ADDRESS,LWCF,PARKID,INITIAL_AQUISITION_DATE,Shape__Area,Shape__Length
1,Windemere Beaver Dam,Neighborhood,N-27,2,Developed,14.767369,1500 Nottingham Rd,27607,NA,Yes,34,1950-01-01T00:00:00.000Z,643264.0076,11375.22131
2,Walnut Creek Athletic Complex,Metro,METRO-6,9,Developed,104.8437993,1201 Sunnybrook Rd,27610,NA,No,35,1955-01-01T00:00:00.000Z,4566977.728,11257.40011
3,Thornton Road Property,Community,C-17,2,Undeveloped,130.6094322,5600 Thornton Rd,27616,6100 Thornton Rd,No,1,1998-10-07T00:00:00.000Z,5689324.028,13130.10912
4,Mary Belle Pate,Neighborhood,N-44,1,Developed,2.44749482,2640 Sierra Dr ,27603,NA,No,2,2009-08-31T00:00:00.000Z,106612.4489,1412.464218
5,Eliza Pool,Neighborhood,N-31,2,Developed,6.2440339,1600 Fayetteville St,27603,NA,No,3,1996-02-29T00:00:00.000Z,271989.0132,2738.523454
6,Lions,Community,C-7,2,Developed,41.40676888,516 Dennis Ave,27604,NA,Yes,4,1953-08-10T00:00:00.000Z,1803671.703,7578.892607
7,Marsh Creek,Community,C-8,7,Developed,143.6609621,3016 New Hope Rd,27604,NA,Yes,5,1973-04-20T00:00:00.000Z,6257871.509,15163.54746
8,Optimist,Community,C-9,1,Developed,30.72107474,5900 Whittier Dr,27609,NA,Yes,6,1969-01-01T00:00:00.000Z,1338204.688,7955.386734
9,Bragg Street,Mini,M-1,2,Developed,0.30417549,1116 South Person St,27601,NA,No,7,1968-05-23T00:00:00.000Z,13249.84839,478.0211311
10,Lenoir Street,Mini,M-10,2,Developed,0.31546732,626 W Lenoir St,27603,NA,No,8,1971-06-10T00:00:00.000Z,13741.69495,482.6456794
11,Compiegne,Mini,M-11,1,Developed,0.45737432,106 Chamberlain St,27607,NA,No,9,,19923.14209,605.1595177
12,Mordecai,Mini,M-12,1,Developed,0.46599886,1122 North Blount St,27604,NA,No,10,1926-07-20T00:00:00.000Z,20298.84631,582.5295849
13,Biltmore Hills,Community,C-1,2,Developed,46.66836977,2615 Fitzgerald Dr,27610,NA,Yes,11,1964-06-01T00:00:00.000Z,2032866.122,7064.82094
14,Worthdale,Community,C-10,4,Developed,36.14247298,1001 Cooper Rd,27610,NA,Yes,12,1963-01-01T00:00:00.000Z,1574359.741,7150.460777
15,Lake Lynn,Community,C-11,3,Developed,51.98873817,7921 Ray Rd,27613,NA,No,13,1987-07-31T00:00:00.000Z,2264620.377,11212.4713
16,Horseshoe Farm,Nature Preserve,NP-3,5,Developed,146.2646207,2900 Horseshoe Farm Rd,27587,NA,No,14,1994-10-20T00:00:00.000Z,6371261.5,13242.14849
17,Alvis Farm,Community,C-18,6,Undeveloped,97.8737931,3603 Tarheel Clubhouse Rd,27604,NA,No,15,2000-02-10T00:00:00.000Z,4263382.427,14271.66706
18,Oakwood Common,Mini,M-15,1,Developed,0.1272925,535 N East St,27604,NA,No,22,1991-04-11T00:00:00.000Z,5544.854736,315.889816
19,Varnell,Mini,M-17,2,Developed,0.44218467,2104 Varnell Ave,27612,2108 Varnell Ave,No,23,,19261.48401,620.5207695
20,Chavis,Community,C-3,8,Developed,28.87200862,505 Martin Luther King Jr Blvd,27601,NA,Yes,16,1970-01-01T00:00:00.000Z,1257659.612,9310.331095
21,Brookhaven,Neighborhood,N-3,1,Developed,25.91690036,5125 Berkeley St,27612,NA,Yes,17,1973-09-06T00:00:00.000Z,1128935.773,4887.610696
22,Durant Nature,Nature Preserve,NP-2,2,Developed,241.5802912,8305 Camp Durant Rd,27615,NA,Yes,18,1979-01-01T00:00:00.000Z,10523188.95,18082.44772
23,Anderson Point,Community,C-12,3,Developed,89.56894825,20 Anderson Point Dr,27610,NA,No,19,1988-07-28T00:00:00.000Z,3901607.753,11235.28112
24,Quarry Street,Mini,M-13,4,Developed,0.35851299,731 Quarry St,27601,NA,No,20,1971-04-30T00:00:00.000Z,15616.72937,507.1791184
25,Spring,Mini,M-14,1,Developed,0.36644713,1422 Collegeview Ave,27606,NA,No,21,,15962.37952,495.9230786
26,Junious N. Sorrell,Mini,M-18,4,Developed,0.30305507,416 E Lee St,27601,NA,No,24,1982-01-08T00:00:00.000Z,13201.01709,465.8368171
27,Caraleigh,Mini,M-2,1,Developed,0.55133322,110 Maywood Ave,27603,NA,No,25,1970-08-12T00:00:00.000Z,24015.95935,652.6023697
28,Davie Street,Mini,M-4,3,Developed,0.8617306,908 East Davie St,27601,NA,No,26,1949-05-18T00:00:00.000Z,37536.87866,833.7359684
29,Fisher Street,Mini,M-5,2,Developed,0.27358239,324 N Fisher St,27610,328 N Fisher St,No,27,1969-05-26T00:00:00.000Z,11917.224,458.5320866
30,Lane Street,Mini,M-9,3,Developed,0.57247828,920 E Lane St,27601,213 Idlewild Ave,No,28,1969-08-21T00:00:00.000Z,24937.07349,780.5647184
31,Shelley Lake - Sertoma,Metro,METRO-4,3,Developed,144.8051102,1400 W Millbrook Rd,27612,NA,Yes,29,1972-01-01T00:00:00.000Z,6307685.48,20850.20476
