OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
3001,04092030397,Tacos Mama Chava #2 (WCID #686),7200 Sandy Forks RD ,,RALEIGH,,27615,,2019-02-27T00:00:00.000Z,Mobile Food Units,13232,-78.62289884,35.87199086,M
3002,04092014599,Poppy Seed Market,8801-107 Lead Mine RD ,,,,27615,(919) 870-8997,2006-05-31T00:00:00.000Z,Restaurant,11381,-78.65799167,35.90484309,M
3003,04092013938,Quiznos Sub # 91,6605 Falls Of Neuse Rd ,,RALEIGH,,27615,(919) 676-1909,2003-11-13T00:00:00.000Z,Restaurant,16868,-78.62444941,35.87396756,M
3004,04092030249,RED HOT & BLUE (WCID #474),6615 FALLS OF NEUSE RD ,,RALEIGH,,27615,(919) 846-7427,2013-05-07T00:00:00.000Z,Mobile Food Units,16388,-78.62444941,35.87396756,M
3005,04092160066,THE CYPRESS OF RALEIGH KITCHEN,8710 CYPRESS CLUB DR ,,RALEIGH,,27615,(919) 870-9007,2008-06-20T00:00:00.000Z,Institutional Food Service,19954,-78.66056363,35.90013964,M
3006,04092017739,Falls Village Wine and Beer,6675-131 Falls of Neuse RD ,,,,27615,(984) 200-5984,2017-11-16T00:00:00.000Z,Restaurant,16757,-78.6231327,35.87483802,M
3007,04092017071,PERI BROTHERS PIZZA,7321 SIX FORKS RD ,,RALEIGH,,27615,(919) 844-6692,2015-11-06T00:00:00.000Z,Restaurant,16483,-78.64725808,35.88069032,M
3008,04092010870,Taylor`s Convenience Store,10005 SIX FORKS RD ,,RALEIGH,,27615-1636,(919) 847-3069,1992-01-17T00:00:00.000Z,Restaurant,611,-78.65047039,35.91579035,M
3009,04092013210,Salsa Fresh Restaurant,9650 STRICKLAND RD ,,RALEIGH,,27615-1902,(919) 870-1107,2000-09-25T00:00:00.000Z,Restaurant,1512,-78.65677159,35.90420107,T
3010,04092110107,Baileywick Elem Sch. Cafet.,9425 BAILEYWICK RD ,,RALEIGH,,27615-1912,(919) 518-0100,1997-03-07T00:00:00.000Z,Public School Lunchrooms,8380,-78.66473135,35.90916753,M
3011,04092011561,Boston Market,9500 STRICKLAND RD,,RALEIGH,,27615-1935,,1994-09-22T00:00:00.000Z,Restaurant,12211,-78.65420911,35.90168214,M
3012,04092300150,Food Lion #1374 Meat Market,9525 STRICKLAND RD ,,RALEIGH,,27615-1936,(919) 676-0141,2000-07-01T00:00:00.000Z,Meat Market,894,-78.65461141,35.89932701,M
3013,04092020967,Food Lion #1374 Deli ,9525 STRICKLAND RD ,,RALEIGH,,27615-1936,(919) 676-0141,2000-07-01T00:00:00.000Z,Food Stand,2928,-78.65461141,35.89932701,M
3014,04092021032,Lowes Foods #191 Deli,9600 STRICKLAND RD ,,RALEIGH,,27615-1937,(919) 847-5661,2000-08-01T00:00:00.000Z,Food Stand,3169,-78.65568292,35.90277448,M
3015,04092011875,Goodberry`s,9700 STRICKLAND RD,,RALEIGH,,27615-1939,(919) 676-8580,1996-05-17T00:00:00.000Z,Restaurant,946,-78.65695874,35.90221401,M
3016,04092012818,Rudino`s Pizza & Grinders,8800 HARVEST OAKS DR,STE 102,RALEIGH,,27615-2075,(919) 848-8899,1998-10-21T00:00:00.000Z,Restaurant,4643,-78.65760185,35.90264181,M
3017,04092020995,Food Lion #572 Deli,8320-120 LITCHFORD RD ,,,,27615-2464,(919) 790-8146,2000-07-01T00:00:00.000Z,Food Stand,1329,-78.60100965,35.89311432,M
3018,04092300166,Food Lion #572 Meat Market ,8320-120 LITCHFORD RD ,,,,27615-2464,,2000-07-01T00:00:00.000Z,Meat Market,20183,-78.60100965,35.89311432,M
3019,04092013496,Starbucks #8495,9630-101 FALLS OF NEUSE RD,,,,27615-2472,(919) 847-1363,2002-01-14T00:00:00.000Z,Restaurant,326,-78.60240848,35.90512634,M
3020,04092017035,NINA'S RISTORANTE,8801 LEADMINE RD ,,RALEIGH,,27615-2722,(919) 845-1122,2015-10-05T00:00:00.000Z,Restaurant,20997,-78.65724665,35.90519757,M
3021,04092110016,Leadmine Elementary Cafeteria,8301 OLD LEAD MINE RD ,,RALEIGH,,27615-2930,(919) 870-4126,1991-09-17T00:00:00.000Z,Public School Lunchrooms,1280,-78.65713584,35.89159018,M
3022,04092010495,Milton`s Pizza House,8853 SIX FORKS RD ,,,,27615-2970,(919) 847-0604,1991-05-09T00:00:00.000Z,Restaurant,5074,-78.65209389,35.90049904,M
3023,04092011781,"Zest, Inc",8831 SIX FORKS RD ,,,,27615-2970,(919) 848-4792,1995-11-30T00:00:00.000Z,Restaurant,2377,-78.65190007,35.9001152,M
3024,04092011784,Taco Bell,8801 SIX FORKS RD ,,RALEIGH,,27615-2970,(919) 870-9107,1995-12-05T00:00:00.000Z,Restaurant,20246,-78.65211984,35.89979375,M
3025,04092012900,Los Tres Vaqueros,7909-109 FALLS OF NEUSE RD ,,,,27615-3348,(919) 846-6666,1999-03-26T00:00:00.000Z,Restaurant,5077,-78.62697433,35.89197359,M
3026,04092013597,Tookie`s,8105 FALLS OF NEUSE RD,,RALEIGH,,27615-3412,(919) 846-6383,2002-06-25T00:00:00.000Z,Restaurant,8419,-78.62373327,35.89435893,M
3027,04092013482,The Piper`s Tavern,8304 FALLS OF NEUSE RD ,,RALEIGH,,27615-3416,(919) 676-7413,2002-01-02T00:00:00.000Z,Restaurant,4150,-78.61981562,35.89456739,M
3028,04092021950,KANGAROO EXPRESS #2720869,8500 HARPS MILL RD ,,RALEIGH,,27615-3834,(919) 872-0614,2016-03-16T00:00:00.000Z,Food Stand,9639,-78.60165311,35.89132184,M
3029,04092030430,Tacos & Pupusas Del Toro (WCID #695),8320 LITCHFORD RD,108,RALEIGH,,27615-3860,(919) 559-8846,2019-07-25T00:00:00.000Z,Mobile Food Units,12902,-78.59988229,35.89223772,M
3030,04092013357,Springmoor Dietary Dept.,1500 SAWMILL RD,,RALEIGH,,27615-4320,(919) 848-7092,2001-07-06T00:00:00.000Z,Restaurant,5524,-78.67552225,35.88395957,M
