0,Swift Creek Elementary,5601,Tryon Rd,Raleigh,NC,35.748423,-78.7207691,Elementary Schools
1,Briarcliff Elementary,1220,Pond St,Cary,NC,35.7708502,-78.7873087,Elementary Schools
2,Farmington Woods Elementary,1413,Hampton Valley Rd,Cary,NC,35.7622328,-78.7754181,Magnet Elementary School
3,Cary High,638,Walnut St,Cary,NC,35.7665681,-78.7568805,High School
4,Adams Elementary,805,Cary Towne Blvd,Cary,NC,35.7781362,-78.7555234,Elementary Schools
5,Apex Elementary,700,Tingen Rd,Apex,NC,35.7124682,-78.8605651,Elementary Schools
6,Apex High,1501,Laura Duncan Rd,Apex,NC,35.7507097,-78.8327293,High School
7,Kingswood Elementary,200,E Johnson St,Cary,NC,35.7934052,-78.7786172,Magnet Elementary School
8,Northwoods Elementary,8850,Chapel Hill Rd,Cary,NC,35.804522,-78.80573919999999,Elementary Schools
9,Combs Elementary,2001,Lorimer Rd,Raleigh,NC,35.7798095,-78.7002874,Magnet Elementary School
10,Athens Drive High,1420,Athens Dr,Raleigh,NC,35.7728382,-78.7149628,Magnet High School
11,Broughton High,723,St Mary's St,Raleigh,NC,35.8017982,-78.6536265,Magnet High School
12,Powell Elementary,1130,Marlborough Rd,Raleigh,NC,35.7955186,-78.6044587,Magnet Elementary School
13,Mary E. Phillips High School,1923,Milburnie Rd,Raleigh,NC,35.7889811,-78.60160809999999,Special / Optional Schools
14,Ligon Middle,706,E Lenoir St,Raleigh,NC,35.7726165,-78.6272546,Magnet Middle School
15,Washington Elementary,1000,Fayetteville St,Raleigh,NC,35.7672748,-78.64208579999999,Magnet Elementary School
16,Carnage Middle,1425,Carnage Dr,Raleigh,NC,35.7622061,-78.628582,Magnet Middle School
17,Daniels Middle,2816,Oberlin Rd,Raleigh,NC,35.8011599,-78.6593948,Magnet Middle School
18,Root Elementary,3202,Northampton St,Raleigh,NC,35.8258524,-78.65121289999999,Elementary Schools
19,Lynn Road Elementary,1601,Lynn Rd,Raleigh,NC,35.8728868,-78.6786333,Elementary Schools
20,Brooks Elementary,700,Northbrook Dr,Raleigh,NC,35.8445138,-78.65090789999999,Magnet Elementary School
21,Carroll Middle,4520,Six Forks Rd,Raleigh,NC,35.8960315,-78.6498179,Magnet Middle School
22,Douglas Elementary,600,Ortega Rd,Raleigh,NC,35.8410276,-78.6319511,Magnet Elementary School
23,Millbrook Elementary,1520,E Millbrook Rd,Raleigh,NC,35.8501972,-78.61099829999999,Magnet Elementary School
24,Wilburn Elementary,3707,Marsh Creek Rd,Raleigh,NC,35.8202259,-78.5749317,Elementary Schools
25,East Millbrook Middle,3801,Spring Forest Rd,Raleigh,NC,35.8594985,-78.59657299999999,Magnet Middle School
26,Fox Road Elementary,7101,Fox Rd,Raleigh,NC,35.8683771,-78.5455338,Magnet Elementary School
